Manufacturer,Avnet Americas,Avnet Asia,Newark,Farnell,Element 14,Silica,EBV,Abacus,Entity Count,Source Names
"SSI Controls, an Amphenol co.",X,,,,,,,,1,
Stackpole Electronics,X,X,,,,,,,2,
Staco Energy Products Co.,,,X,,,,,,1,
Standexmeder,,,,X,X,,,,2,
Stanley,,,X,,,,,,1,
Stannol,,,,X,X,,,,2,
StarPower,,,X,X,X,,,,3,
StarTech,,,X,,,,,,1,
Staubli,,,X,X,X,,,,3,Staubli (formerly MC Multi-Contact)
Steffen,,,,X,X,,,,2,
Stego,,,X,,,,,,1,
Steinel,,,X,X,X,,,,3,STEINEL
Stellar Labs,,,X,,,,,,1,Stellar Labs Computer +; Stellar Labs Power
Step’n Components,,,X,,,,,,1,
Steward,,X,,,,,,,1,
Stewart Connector,,,,X,X,,,,2,
Stewart Connectors,,,X,,,,,,1,
STMicroelectronics,X,X,X,X,X,X,X,X,8,ST
Storm Data Entry Technology,,,X,,,,,,1,
Storm Interface,,,X,X,X,,,,3,
Streamlight,,,X,,,,,,1,
Structured Cable,,,X,,,,,,1,
Struthers-Dunn,,,X,,,,,,1,
Sumida,X,,,,,,,,1,
Sunbank,,,X,X,X,,,,3,
Suncon,,,,,,,,X,1,
Sunon,X,,,X,X,,,,3,
Super Micro Computer,X,,,,,,,,1,
Superior Electric,,,X,,,,,,1,
Superior Sensors,,,X,X,,,,,2,
Sure Electronics,,,X,,,,,,1,
Sure Seal,,,X,,,,,,1,
Surehold,,,X,,,,,,1,
Surge Components,X,,,,,,,,1,
Susumu,,,X,,,,,,1,
"SV Microwave, an Amphenol co.",X,,,,,,,,1,
Swissbit,X,,X,X,X,,,,4,Swissbit AG
Switchcraft,,,,X,X,,,,2,
Switchcraft/Conxall,,,X,,,,,,1,
Synaptics,,X,,,,,,,1,
SynQor,X,,,,,,,,1,
Syntiant,X,,,,,,,,1,
SySTIUM Technologies,X,,,,,,,,1,
T-Bar/Olympic Controls,,,X,,,,,,1,
Tabor Electronics,,,X,X,X,,,,3,Tabor
Tactix,,,X,,,,,,1,
Tadiran,,X,X,X,,,,X,4,
TAEC (Toshiba America Electronic Components),X,,,,,,,,1,
Taitek,,,,,,,,X,1,
Taitien Electronics,,X,,,,,,,1,
Taiwan Semiconductor,X,X,X,X,X,,X,,6,
Taiyo Yuden,X,X,X,X,X,,,X,6,TAIYO YUDEN
Taoglas,X,,,,,,X,,2,
TapeCase,,,X,,,,,,1,
TDK,X,,X,X,X,,,X,5,"TDK (Faraday); TDK (InvenSense, EPCOS, Tronics)"
TDK - Epcos,,,,X,X,,,,2,
TDK Invensense,,,,,X,,,X,2,
TDK Lambda,,,,X,X,,,,2,
"TDK–Lambda Americas, Inc.",,,X,,,,,,1,
TE Connectivity,X,X,X,X,X,,,X,6,
Tech Spray,,,X,,,,,,1,
Techcon,,,,X,X,,,,2,
TechFaith,,X,,,,,,,1,
TechNexion (Wandboard),X,,,,,,,,1,
Tektronix,,,X,X,X,,,,3,
"Telaire, an Amphenol co.",X,,,,,,,,1,
Teledyne Defense Electronics,X,,,,,,,,1,
Teledyne e2v,X,,,,,X,,,2,
Teledyne Flir,,,,,X,,,,1,
Teledyne FLIR Commercial Systems,,,X,,,,,,1,
Teledyne LeCroy,,,X,,,,,,1,
Telemecanique,,,,X,X,,,,2,
Telemecanique Sensors,,,X,,,,,,1,
Telit Cinterion,,,,,,,X,,1,
Teltonika,,,,,,X,,,1,
Tempo Communications,,,X,,,,,,1,
Tenma,,,X,X,X,,,,3,Tenma®
Tera Grand,,,X,,,,,,1,
Terasic Technologies,,,X,,,,,,1,
Tesa,,,,X,X,,,,2,
Test Products Intl,,,X,,,,,,1,
Testec,,,,X,X,,,,2,
Testo,,,,X,X,,,,2,
Texas Instruments,,,,,,,,X,1,TI
The Things Network,,,X,X,,,,,2,THE THINGS NETWORK
Thermodisc,,,X,,,,,,1,
"Thermometrics, an Amphenol co.",X,,,,,,,,1,
Thinking,,X,,,,,,,1,
Thomas & Betts,,,X,X,X,,,,3,
Thordarson-Meissner,,,X,,,,,,1,
Tianma,X,,,,,,,X,2,TIANMA
TIMES Microwave,,,X,,,,,,1,
TIMESYS (LINUX),,,,X,,,,,1,
TinyCircuits,,,X,,,,,,1,
Titan,,,X,,,,,,1,
TKD Kabel,,,X,,,,,,1,
"Toner Plastics, Inc.",,,X,,,,,,1,
Top Yang Technology,,X,,,,,,,1,
Topic Embedded Products,,X,,,,,,,1,
Toradex,X,,,,,,,,1,
Torex,X,,X,X,X,X,,,5,Torex Semiconductor
Toshiba,X,X,X,X,X,,X,,6,Toshiba (OCZ Technology); Toshiba Electronics
Total Phase,,X,,,,,,,1,
Touchstone Technology,X,,,,,,,,1,
TP-Link,,,X,,,,,,1,
Traco Power,,,X,,X,,,,2,
TracoPower,,,,X,,,,,1,
Transcend,X,X,,X,X,,,,4,TRANSCEND
Transphorm,,,,X,,,,,1,
TRENDnet,,,X,,,,,,1,
Treston (formerly Sovella),,,X,,,,,,1,
Tri-Star International,,,X,,,,,,1,
Tri-Star/Carlisle,X,,,,,,,,1,
Tria Technologies,X,,,,,,,X,2,Tria
Triad Magnetics,,,X,X,X,,,,3,
Triad Semiconductor,X,,,,,,,,1,
Trimax,,,X,,,,,,1,
Trinamic,,,,X,X,,,,2,
Trinamic / Analog Devices,,,,,X,,,,1,
Triplett,,,X,,,,,,1,
Tripp Lite by Eaton,X,,,,,,,,1,
Tripp-Lite,,,X,X,,,,,2,
Trompeter,,,X,,X,,,,2,
Tronex,,,X,,,,,,1,
Tronics,,,X,X,X,,,,3,
Trumeter,,,X,,,,,,1,
Truphone,,X,,,,,,,1,
Trusted Objects,,X,,,,X,,,2,
TT Electronics,,X,,X,X,,,,3,
TT Electronics / Optek Technology,,,,X,X,,,,2,
TT ELECTRONICS / OPTEK TECHNOLOGY / ROXSPUR,,,,X,,,,,1,
TT Electronics / Semelab,,,,,X,,,,1,
TTM Technologies,X,,,,,,,,1,
TUL,,,X,X,X,,,,3,TUL Corporation
Tung Sol,,,X,,,,,,1,
Turck,,,X,X,X,,,,3,
Tusonix,,,,X,X,,,,2,
Twin Industries,,,X,,,,,,1,
TXC Corporation,,X,X,X,X,,,,4,TXC
TYAN,X,,,,,,,,1,
u-blox,X,,,,,X,,,2,U-blox
U.R.T,,,,,,,,X,1,
Ubiquios Technology,X,,,,,,,,1,
Ultimaker,,,X,,,,,,1,
Ultimate Support Systems,,,X,,,,,,1,
UltraLast Green,,,X,,,,,,1,
Ultralife Batteries Inc.,,,X,,,,,,1,
"UltraVolt, an Advanced Energy Co.",X,,,,,,,,1,
"Unicom Electric, Inc.",,,X,,,,,,1,
United Radiant Technology (URT),X,,,,,,,,1,
United SiC,,,X,,,,,,1,
Universal Science,,X,,,,,,,1,
Ushio America,X,,,,,,,,1,
Utica,,,X,,,,,,1,
Van Damme,,,,X,X,,,,2,
Vanguard Electronics,,,,,,,,X,1,
Varta,,X,X,X,,,,X,4,
VCC (Visual Communications Company),,,,X,X,,,,2,
VDC,,,,X,X,,,,2,
VECO (Vansonic),X,,,,,,,,1,
"Vector Electronics & Technology, Inc.",,,X,,,,,,1,
Veeder-Root,,,X,,,,,,1,
Velcro,,,,X,X,,,,2,
Velleman SA,,,X,X,X,,,,3,Velleman; VELLEMAN SA
Ventura Technology Group,X,,,,,,,,1,
Verbatim,,,X,,,,,,1,
Vericon,,X,,,,,,,1,
Verizon,X,,,,,,,,1,
Vero,,,,X,X,,,,2,
VIA Technologies,X,,,,,,,,1,
Vicor,X,X,,,,,,X,3,
Videk,,,,X,X,,,,2,
Vigortonix,,,,X,X,,,,2,
Vinatech,,,,X,X,,,,2,
Visaton,,,X,X,X,,,,3,
Vishay,X,X,X,X,X,,X,X,7,
Vishay Precision Group,X,,,X,,,,X,3,Vishay Precision Group (VPG); VPG
Vision Engineering,,,X,,,,,,1,
Visual Communications Company (VCC),,,X,,,,,,1,
Vitrohm,,,,,,,,X,1,
VMware,X,,,,,,,,1,
Volex,,,X,X,X,,,,3,Volex Inc.
VPT Components,X,,,,,,,,1,
Vulcascot,,,,X,X,,,,2,
Vynckier,,,X,,,,,,1,
Waber/Tripp Lite,,,X,,,,,,1,
Wago,,,X,X,X,,,,3,
Wahl/Isotip,,,X,,,,,,1,
Wakefield Solutions,,,X,X,X,,,,3,
Waldom Electronics,,,X,,,,,,1,
Walsin,,,,X,X,,,,2,
Walter Electronics,,X,,,,,,,1,
Walther,,,,X,X,,,,2,
WAMCO,,,X,,,,,,1,
WD-40,,,X,,,,,,1,
Wearnes Cambion,,,X,X,,,,,2,
WeEn,X,X,X,X,X,X,X,,7,WeEN Semiconductor; WeEn Semiconductors
Weidmuller,,,,X,X,,,,2,
Weidmüller Inc.,,,X,,,,,,1,
Weldon,,,X,,,,,,1,
Weller,,,X,X,X,,,,3,
Weller Erem,,,X,X,X,,,,3,WELLER EREM
Weller Xcelite,,,X,,,,,,1,
Welwyn/TT Electronics,,,X,,,,,,1,
Wera,,,,X,X,,,,2,WERA
Wera Tools,,,X,,,,,,1,
Werma,,,,X,X,,,,2,
West Penn Wire,,,X,,,,,,1,
Western Digital,X,X,,,,,,,2,
White Rodgers,,,X,,,,,,1,
Wi2Wi,X,X,,,,,,,2,
Wieland Electric,,,X,X,X,,,,3,Wieland
Wiha,,,X,X,X,,,,3,WIHA
Wima,,,,X,X,,,,2,
Winbond,,X,,,,,,,1,
Wind River Systems,,X,,,,,,,1,
Winstar,,,,,,,,X,1,
Wiremold,,,X,,,,,,1,
Wiska,,,,X,X,,,,2,
Wisol,,X,,,,,,,1,
Wiss,,,X,,,,,,1,
Wittra,,,,X,X,,,,2,
WNC (Wistron NeWeb Corp.),X,,,,,,,,1,
Wolfspeed,,,X,X,X,,,,3,
Woodhead - A Molex Company,,,X,,,,,,1,
Woods Industries,,,X,,,,,,1,
WSI WiseChip Semiconductor,,,,,,,,X,1,
Wurth,,,,X,,,,,1,
Wurth Elektronik,,,X,X,X,,,,3,Wuerth Elektronik
X-Semi,,,,,,,,X,1,
Xantrex,,,X,,,,,,1,
Xeltek,,,X,,,,,,1,
XFX,X,,,,,,,,1,
"XGIGA, an Amphenol co.",X,,,,,,,,1,
Xilinx,,,,X,,,,X,2,XILINX
Xinli,,,,,,,,X,1,
XMOS,,X,,,,,,,1,
XP Power,,,X,X,X,,,X,4,
Xsens,,,X,X,X,,,,3,
XTX Technology,,X,,,,,,,1,
Xuron,,,,X,,,,,1,
Xytronic,,,X,,,,,,1,
Yageo,X,X,X,X,X,,,X,6,
Yageo Xsemi,,,,X,,,,,1,
Yamaichi,,,,X,X,,,,2,
Yangtze Memory,,X,,,,,,,1,
Yeebo Display,,,,,,,,X,1,
Yokogawa,,,X,,,,,,1,
Yuasa,,,,X,X,,,,2,
Zebra Sound,,,X,,,,,,1,
Zenithtek,,X,,,,,,,1,
Zeus Battery Products,,,X,,,,,,1,
ZF Electronics,,,X,X,X,,,,3,
Zhejiang Xinli Optronics Technology,X,,,,,,,,1,
Zierick,,,,,,,,X,1,
Zilog,,,X,,,,,,1,
Zymbit,,,X,X,X,,,,3,ZYMBIT
Zytronics,X,,,,,,,,1,
